#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
155,[45] N1 N2 S1 S2 N4 S8,1,940.9666667,14.4,-3.899226904,-2.966666667,0.00028125,0.350042969
156,[26] N1 N2 S1 S2 N3 S7,2,941,14.43333333,-3.865893571,-2.933333333,0.0016875,0.351730469
157,[46] N1 S1 N2 N1 S1 N2 S5,1,941.0333333,14.46666667,-3.832560237,-2.9,0.000140625,0.351871094
158,[47] N1 N2 S5 N5 S7 S6,1,941.0333333,14.46666667,-3.832560237,-2.9,0.001125,0.352996094
159,[13] N1 S4 S5 N5 S7,3,941.0666667,14.5,-3.799226904,-2.866666667,0.00675,0.359746094
160,[74] N1 N2 N5 S5 S4 N1 S1,0,941.1333333,14.56666667,-3.732560237,-2.8,0.00025,0.359996094
161,[27] N1 S1 N2 N5 S7 S6,2,941.1333333,14.56666667,-3.732560237,-2.8,0.00084375,0.360839844
162,[75] N1 S1 S2 N3 N5 N2 N1 S8,0,941.2,14.63333333,-3.665893571,-2.733333333,0.00003125,0.360871094
163,[76] N1 S4 S5 N5 N2 N1 S1,0,941.2,14.63333333,-3.665893571,-2.733333333,0.0005,0.361371094
164,[77] N1 S8 N4 S1 N2 N1 S8,0,941.2,14.63333333,-3.665893571,-2.733333333,0.000125,0.361496094
165,[28] N1 S1 N2 N5 S5 S4,2,941.2,14.63333333,-3.665893571,-2.733333333,0.00084375,0.362339844
166,[78] N1 N2 S1 N1 S8 N4 S2,0,941.2333333,14.66666667,-3.632560237,-2.7,0.0000625,0.362402344
167,[48] N1 S4 S5 N2 N5 S7,1,941.3666667,14.8,-3.499226904,-2.566666667,0.001125,0.363527344
168,[14] N1 S1 S2 N3 N5 S5,3,941.4,14.83333333,-3.465893571,-2.533333333,0.000421875,0.363949219
169,[79] N1 N2 S1 N1 N2 S1 N1 S4,0,941.4333333,14.86666667,-3.432560237,-2.5,7.8125E-06,0.363957031
170,[49] N1 N2 S1 S2 N3 N5 S5,1,941.4333333,14.86666667,-3.432560237,-2.5,0.000140625,0.364097656
171,[80] N1 S1 N2 N1 S8 N4 S2,0,941.4666667,14.9,-3.399226904,-2.466666667,0.000125,0.364222656
172,[81] N1 S1 N2 N1 S1 N2 N1 S4,0,941.5333333,14.96666667,-3.332560237,-2.4,0.00003125,0.364253906
173,[29] N1 N2 S1 N1 N2 S1 S2,2,941.5333333,14.96666667,-3.332560237,-2.4,0.000105469,0.364359375
174,[82] N1 S1 N2 S5 N5 N2 S5,0,941.5666667,15,-3.299226904,-2.366666667,0.00003125,0.364390625
175,[50] N1 N2 N5 S5 S6 S7,1,941.6,15.03333333,-3.265893571,-2.333333333,0.001125,0.365515625
176,[51] N1 S1 S2 N3 N5 N2 S5,1,941.6333333,15.06666667,-3.232560237,-2.3,0.00028125,0.365796875
177,[52] N1 S1 N4 S2 S3,1,941.6666667,15.1,-3.199226904,-2.266666667,0.00225,0.368046875
178,[30] N1 N2 S5 S4 N1 S1,2,941.7,15.13333333,-3.165893571,-2.233333333,0.0135,0.381546875
179,[83] N1 S4 S5 N5 N2 N1 S4,0,941.7333333,15.16666667,-3.132560237,-2.2,0.001,0.382546875
180,[84] N1 N2 S5 S4 N1 N2 S1,0,941.7333333,15.16666667,-3.132560237,-2.2,0.00025,0.382796875
181,[31] N1 S1 N2 S5 N5 S7,2,941.8333333,15.26666667,-3.032560237,-2.1,0.000421875,0.38321875
182,[32] N1 S4 S5 N2 N1 S1,2,941.8333333,15.26666667,-3.032560237,-2.1,0.003375,0.38659375
183,[53] N1 S8 N4 N6 S3 S2,1,941.8666667,15.3,-2.999226904,-2.066666667,0.009,0.39559375
184,[15] N1 S1 S2 N3 N5 S7,3,941.8666667,15.3,-2.999226904,-2.066666667,0.000421875,0.396015625
185,[85] N1 S8 N4 S1 N1 N2 S1,0,941.9,15.33333333,-2.965893571,-2.033333333,0.000125,0.396140625
186,[54] N1 N2 S1 S2 N3 N5 S7,1,941.9,15.33333333,-2.965893571,-2.033333333,0.000140625,0.39628125
187,[86] N1 N2 S1 N1 N2 S5 S6,0,941.9333333,15.36666667,-2.932560237,-2,0.00003125,0.3963125
188,[33] N1 S1 N4 S8 N1 S1,2,941.9333333,15.36666667,-2.932560237,-2,0.003375,0.3996875
189,[87] N1 N2 S1 N1 S8 N4 S1,0,942.0333333,15.46666667,-2.832560237,-1.9,0.0000625,0.39975
190,[34] N1 S1 N2 N5 S5 S6,2,942.0333333,15.46666667,-2.832560237,-1.9,0.000421875,0.400171875
191,[88] N1 S1 S2 N3 N5 N2 N1 S1,0,942.0666667,15.5,-2.799226904,-1.866666667,0.00003125,0.400203125
192,[89] N1 S8 N4 S1 N2 N1 S1,0,942.0666667,15.5,-2.799226904,-1.866666667,0.000125,0.400328125
193,[90] N1 S1 N2 N5 N3 S2 S3,0,942.1333333,15.56666667,-2.732560237,-1.8,0.00003125,0.400359375
194,[91] N1 N2 S1 N4 S8 N1 S1,0,942.1666667,15.6,-2.699226904,-1.766666667,0.000125,0.400484375
195,[55] N1 S8 N4 S1 N2 S5,1,942.1666667,15.6,-2.699226904,-1.766666667,0.001125,0.401609375
196,[35] N1 S4 S5 N5 N2 S1,2,942.1666667,15.6,-2.699226904,-1.766666667,0.00675,0.408359375
197,[92] N1 S1 N2 N1 S8 N4 S1,0,942.2666667,15.7,-2.599226904,-1.666666667,0.000125,0.408484375
198,[93] N1 S1 N4 S8 N1 N2 S1,0,942.2666667,15.7,-2.599226904,-1.666666667,0.000125,0.408609375
199,[56] N1 N2 N5 S7 S6 S5,1,942.3333333,15.76666667,-2.532560237,-1.6,0.00225,0.410859375
200,[57] N1 N2 S1 N1 N2 S1 N1 S8,1,942.3333333,15.76666667,-2.532560237,-1.6,1.75781E-05,0.410876953
201,[36] N1 S4 S5 N5 N3 S2,2,942.3666667,15.8,-2.499226904,-1.566666667,0.003375,0.414251953
202,[37] N1 S4 S5 N2 N1 S4,2,942.3666667,15.8,-2.499226904,-1.566666667,0.00675,0.421001953
203,[38] N1 S8 N4 S1 N1 S4,2,942.4,15.83333333,-2.465893571,-1.533333333,0.00675,0.427751953
204,[16] N1 N2 S5 S6 S7,3,942.4333333,15.86666667,-2.432560237,-1.5,0.00675,0.434501953
205,[94] N1 S4 S5 N2 N5 N3 S2,0,942.5,15.93333333,-2.365893571,-1.433333333,0.000125,0.434626953
206,[58] N1 N2 S5 N5 N2 S1 S2,1,942.5,15.93333333,-2.365893571,-1.433333333,0.00028125,0.434908203
207,[95] N1 N2 N5 S7 N3 S2 S1,0,942.5333333,15.96666667,-2.332560237,-1.4,0.00003125,0.434939453
208,[96] N1 S1 N4 N6 S3 S2,0,942.5666667,16,-2.299226904,-1.366666667,0.001,0.435939453
209,[97] N1 S1 S2 N3 N5 N2 N1 S4,0,942.6,16.03333333,-2.265893571,-1.333333333,0.0000625,0.436001953
210,[59] N1 N2 N5 S5 N2 S1 S2,1,942.6,16.03333333,-2.265893571,-1.333333333,7.03125E-05,0.436072266
211,[60] N1 S1 N2 N1 S1 N2 N1 S8,1,942.6,16.03333333,-2.265893571,-1.333333333,7.03125E-05,0.436142578
212,[98] N1 S1 N2 N5 S7 N3 S2,0,942.6333333,16.06666667,-2.232560237,-1.3,0.000015625,0.436158203
213,[99] N1 N2 N5 N3 S2 S1 N1 S4,0,942.6333333,16.06666667,-2.232560237,-1.3,0.00003125,0.436189453
214,[100] N1 S8 N4 S1 N2 N1 S4,0,942.6333333,16.06666667,-2.232560237,-1.3,0.00025,0.436439453
215,[17] N1 N2 S1 N1 S4 S5,3,942.6333333,16.06666667,-2.232560237,-1.3,0.0016875,0.438126953
216,[18] N1 S1 N2 N1 S4 S5,3,942.6333333,16.06666667,-2.232560237,-1.3,0.003375,0.441501953
217,[19] N1 S1 N4 S2 S1,3,942.7,16.13333333,-2.165893571,-1.233333333,0.0016875,0.443189453
218,[39] N1 S1 N4 S8 N1 S4,2,942.7333333,16.16666667,-2.132560237,-1.2,0.00675,0.449939453
219,[101] N1 S1 N2 N1 S1 N2 N5 S5,0,942.7666667,16.2,-2.099226904,-1.166666667,7.8125E-06,0.449947266
220,[61] N1 N2 N5 S5 S4 N1 S8,1,942.7666667,16.2,-2.099226904,-1.166666667,0.0005625,0.450509766
221,[62] N1 S4 S5 N5 N2 N1 S8,1,942.8,16.23333333,-2.065893571,-1.133333333,0.00225,0.452759766
222,[63] N1 S8 N4 S2 N3 S3,1,942.8666667,16.3,-1.999226904,-1.066666667,0.00225,0.455009766
223,[20] N1 S1 S2 N4 S1,3,942.9,16.33333333,-1.965893571,-1.033333333,0.00084375,0.455853516
224,[64] N1 N2 S1 S2 N4 S1,1,942.9333333,16.36666667,-1.932560237,-1,0.00028125,0.456134766
225,[102] N1 N2 S1 N4 S8 N1 S4,0,942.9666667,16.4,-1.899226904,-0.966666667,0.00025,0.456384766
