#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
238,[41] N1 S1 N4 S8 N1 S4,2,41.521,17.114,-1.729,-0.718,0.006750 ,0.469260 ,
238,[41] N1 S8 N4 S1 N1 S4,2,41.521,17.114,-1.729,-0.718,0.006750 ,0.469260 ,
240,[106] N1 N2 S1 S2 N4 N6 S3,0,41.557,17.15,-1.693,-0.682,0.000125 ,0.469385 ,
241,[107] N1 S8 N4 S2 N3 N5 S5,0,41.582,17.175,-1.668,-0.657,0.000125 ,0.469510 ,
242,[108] N1 S1 N2 N1 S1 N2 N5 S7,0,41.59,17.183,-1.66,-0.649,0.000008 ,0.469518 ,
243,[71] N1 N2 N5 N3 S2 S1 N1 S8,1,41.638,17.231,-1.612,-0.601,0.000070 ,0.469729 ,
243,[71] N1 S1 S2 N3 N5 N2 N1 S8,1,41.638,17.231,-1.612,-0.601,0.000141 ,0.469729 ,
245,[109] N1 N2 N5 S5 N2 S1 N1 S8,0,41.643,17.236,-1.607,-0.596,0.000004 ,0.469771 ,
245,[109] N1 N2 S5 N5 N2 S1 N1 S8,0,41.643,17.236,-1.607,-0.596,0.000016 ,0.469771 ,
245,[109] N1 S1 N2 N5 S5 N2 N1 S8,0,41.643,17.236,-1.607,-0.596,0.000008 ,0.469771 ,
245,[109] N1 S1 N2 S5 N5 N2 N1 S8,0,41.643,17.236,-1.607,-0.596,0.000016 ,0.469771 ,
249,[23] N1 S1 N2 N5 S7 S6,3,41.663,17.256,-1.587,-0.576,0.000422 ,0.470193 ,
250,[43] N1 S4 S5 N2 N5 S5,2,41.756,17.349,-1.494,-0.483,0.001688 ,0.478631 ,
250,[43] N1 S4 S5 N5 N2 S5,2,41.756,17.349,-1.494,-0.483,0.006750 ,0.478631 ,
252,[45] N1 N2 S1 S2 N4 S8,2,41.77,17.363,-1.48,-0.469,0.000422 ,0.479053 ,
253,[113] N1 N2 S1 N4 S8 N1 S4,0,41.775,17.368,-1.475,-0.464,0.000250 ,0.479553 ,
253,[113] N1 S8 N4 S1 N2 N1 S4,0,41.775,17.368,-1.475,-0.464,0.000250 ,0.479553 ,
255,[115] N1 S1 N2 N1 S1 N4 S8,0,41.809,17.402,-1.441,-0.43,0.000063 ,0.479615 ,
256,[24] N1 S8 N4 S2 S3,3,41.834,17.427,-1.416,-0.405,0.003375 ,0.482990 ,
257,[25] N1 S1 N2 N5 S5 S4,3,41.837,17.43,-1.413,-0.402,0.000422 ,0.483412 ,
258,[46] N1 S1 N2 N1 S1 N2 S5,2,41.869,17.462,-1.381,-0.37,0.000211 ,0.483623 ,
259,[47] N1 N2 S1 S2 N3 N5 S5,2,41.909,17.502,-1.341,-0.33,0.000211 ,0.483834 ,
260,[48] N1 N2 S5 N5 S7 S6,2,41.952,17.545,-1.298,-0.287,0.001688 ,0.485521 ,
261,[49] N1 S1 N4 S2 S3,2,42.037,17.63,-1.213,-0.202,0.003375 ,0.488896 ,
262,[73] N1 S1 N2 N5 N3 S2 S3,1,42.038,17.631,-1.212,-0.201,0.000141 ,0.489037 ,
263,[74] N1 N2 N5 S5 S4 N1 S1,1,42.059,17.652,-1.191,-0.18,0.001125 ,0.492412 ,
263,[74] N1 S4 S5 N5 N2 N1 S1,1,42.059,17.652,-1.191,-0.18,0.002250 ,0.492412 ,
265,[26] N1 N2 S5 S4 N1 S8,3,42.063,17.656,-1.187,-0.176,0.003375 ,0.497475 ,
265,[26] N1 S4 S5 N2 N1 S8,3,42.063,17.656,-1.187,-0.176,0.001688 ,0.497475 ,
267,[116] N1 S1 N2 N5 S7 N7 S3,0,42.071,17.664,-1.179,-0.168,0.000063 ,0.497537 ,
268,[117] N1 S8 N4 S1 N2 N5 S5,0,42.132,17.725,-1.118,-0.107,0.000063 ,0.497600 ,
269,[76] N1 S1 N2 N1 S1 N2 N1 S1,1,42.172,17.765,-1.078,-0.067,0.000070 ,0.497670 ,
270,[28] N1 S8 N4 S1 N1 S8,3,42.185,17.778,-1.065,-0.054,0.001688 ,0.499357 ,
271,[50] N1 N2 N5 S5 S6 S7,2,42.239,17.832,-1.011,0,0.001688 ,0.501045 ,
272,[118] N1 N2 S5 S4 N1 N2 S5,0,42.254,17.847,-0.996,0.015,0.000500 ,0.501545 ,
273,[119] N1 S8 N4 S2 N3 N5 S7,0,42.259,17.852,-0.991,0.02,0.000125 ,0.501670 ,
274,[120] N1 S8 N4 N6 S3 N3 S2,0,42.276,17.869,-0.974,0.037,0.000500 ,0.502170 ,
275,[51] N1 S1 S2 N3 N5 N2 S5,2,42.287,17.88,-0.963,0.048,0.000422 ,0.502592 ,
276,[121] N1 N2 S1 N4 S2 S3,0,42.291,17.884,-0.959,0.052,0.000125 ,0.502717 ,
277,[77] N1 S1 N2 S5 N5 N2 S5,1,42.292,17.885,-0.958,0.053,0.000141 ,0.502857 ,
278,[122] N1 N2 S5 N5 N3 S2 S3,0,42.327,17.92,-0.923,0.088,0.000031 ,0.502889 ,
279,[78] N1 N2 S1 N1 N2 S5 S4,1,42.335,17.928,-0.915,0.096,0.000281 ,0.503170 ,
280,[29] N1 S1 N2 S5 N5 S7,3,42.337,17.93,-0.913,0.098,0.000211 ,0.503381 ,
281,[123] N1 S1 N4 S8 N1 N2 S5,0,42.376,17.969,-0.874,0.137,0.000250 ,0.503881 ,
281,[123] N1 S8 N4 S1 N1 N2 S5,0,42.376,17.969,-0.874,0.137,0.000250 ,0.503881 ,
283,[52] N1 S4 S5 N2 N5 S7,2,42.433,18.026,-0.817,0.194,0.001688 ,0.505568 ,
284,[79] N1 S8 N4 S1 N2 N1 S8,1,42.439,18.032,-0.811,0.2,0.000563 ,0.506131 ,
285,[80] N1 N2 S1 N1 S8 N4 S2,1,42.44,18.033,-0.81,0.201,0.000281 ,0.506975 ,
285,[80] N1 S1 N2 N1 S8 N4 S2,1,42.44,18.033,-0.81,0.201,0.000563 ,0.506975 ,
287,[30] N1 S1 N2 N5 S5 S6,3,42.454,18.047,-0.796,0.215,0.000211 ,0.507186 ,
288,[125] N1 N2 N5 S5 N2 N1 S1 S2,0,42.478,18.071,-0.772,0.239,0.000008 ,0.507225 ,
288,[125] N1 N2 S5 N5 N2 N1 S1 S2,0,42.478,18.071,-0.772,0.239,0.000031 ,0.507225 ,
290,[127] N1 N2 N5 N3 S2 S1 N2 S5,0,42.541,18.134,-0.709,0.302,0.000016 ,0.507256 ,
290,[127] N1 N2 S1 S2 N3 N5 N2 S5,0,42.541,18.134,-0.709,0.302,0.000016 ,0.507256 ,
292,[53] N1 N2 S1 S2 N3 N5 S7,2,42.586,18.179,-0.664,0.347,0.000211 ,0.507467 ,
293,[82] N1 S1 S2 N3 N5 N2 N1 S1,1,42.59,18.183,-0.66,0.351,0.000141 ,0.507607 ,
294,[129] N1 S1 N2 N5 S5 N2 N1 S1,0,42.595,18.188,-0.655,0.356,0.000008 ,0.507631 ,
294,[129] N1 S1 N2 S5 N5 N2 N1 S1,0,42.595,18.188,-0.655,0.356,0.000016 ,0.507631 ,
296,[131] N1 S1 N2 N1 S1 N4 S2,0,42.643,18.236,-0.607,0.404,0.000063 ,0.507693 ,
297,[83] N1 S1 N2 N5 S7 N3 S2,1,42.702,18.295,-0.548,0.463,0.000070 ,0.507764 ,
298,[132] N1 N2 S5 N5 N2 S5 S4,0,42.758,18.351,-0.492,0.519,0.000125 ,0.507889 ,
299,[31] N1 N2 S1 N1 N2 S1 S2,3,42.767,18.36,-0.483,0.528,0.000053 ,0.507941 ,
300,[32] N1 S4 S5 N5 N2 S1,3,42.771,18.364,-0.479,0.532,0.003375 ,0.511316 ,
301,[133] N1 S8 N4 S1 N2 N5 S7,0,42.809,18.402,-0.441,0.57,0.000063 ,0.511379 ,
302,[33] N1 S4 S5 N5 N3 S2,3,42.855,18.448,-0.395,0.616,0.001688 ,0.513066 ,
303,[84] N1 N2 N5 S7 N3 S2 S1,1,42.902,18.495,-0.348,0.663,0.000141 ,0.513207 ,
304,[54] N1 N2 N5 S7 S6 S5,2,42.916,18.509,-0.334,0.677,0.003375 ,0.516582 ,
305,[55] N1 S8 N4 N6 S3 S2,2,42.921,18.514,-0.329,0.682,0.013500 ,0.530082 ,
306,[85] N1 S4 S5 N5 N2 N1 S4,1,42.943,18.536,-0.307,0.704,0.004500 ,0.534582 ,
307,[86] N1 N2 S1 N1 N2 S5 S6,1,42.952,18.545,-0.298,0.713,0.000141 ,0.534723 ,
308,[134] N1 N2 S5 N5 S7 N3 S2,0,42.991,18.584,-0.259,0.752,0.000031 ,0.534754 ,
309,[34] N1 N2 S5 S4 N1 S1,3,43.015,18.608,-0.235,0.776,0.006750 ,0.543191 ,
309,[34] N1 S4 S5 N2 N1 S1,3,43.015,18.608,-0.235,0.776,0.001688 ,0.543191 ,
311,[87] N1 N2 S1 N1 N2 S1 N1 S4,1,43.056,18.649,-0.194,0.817,0.000035 ,0.543367 ,
311,[87] N1 S1 N2 N1 S1 N2 N1 S4,1,43.056,18.649,-0.194,0.817,0.000141 ,0.543367 ,
313,[56] N1 S8 N4 S1 N2 S5,2,43.088,18.681,-0.162,0.849,0.001688 ,0.545055 ,
314,[89] N1 S1 N4 N6 S3 S2,1,43.124,18.717,-0.126,0.885,0.004500 ,0.549555 ,
315,[36] N1 S1 N4 S8 N1 S1,3,43.137,18.73,-0.113,0.898,0.001688 ,0.551242 ,
316,[57] N1 N2 N5 S5 N2 S1 S2,2,43.19,18.783,-0.06,0.951,0.000105 ,0.551770 ,
316,[57] N1 N2 S5 N5 N2 S1 S2,2,43.19,18.783,-0.06,0.951,0.000422 ,0.551770 ,
318,[90] N1 N2 S5 S4 N1 N2 S1,1,43.269,18.862,0.019,1.03,0.001125 ,0.552895 ,
319,[37] N1 S1 N2 N5 N3 S2 S1,3,43.302,18.895,0.052,1.063,0.000211 ,0.553316 ,
319,[37] N1 S1 S2 N3 N5 N2 S1,3,43.302,18.895,0.052,1.063,0.000211 ,0.553316 ,
321,[59] N1 S1 N2 N5 S5 N2 S1,2,43.307,18.9,0.057,1.068,0.000105 ,0.553633 ,
321,[59] N1 S1 N2 S5 N5 N2 S1,2,43.307,18.9,0.057,1.068,0.000211 ,0.553633 ,
323,[135] N1 N2 S5 N5 N2 S5 S6,0,43.375,18.968,0.125,1.136,0.000063 ,0.553695 ,
324,[91] N1 N2 S1 N1 S8 N4 S1,1,43.391,18.984,0.141,1.152,0.000281 ,0.556895 ,
324,[91] N1 N2 S1 N4 S8 N1 S1,1,43.391,18.984,0.141,1.152,0.000563 ,0.556895 ,
324,[91] N1 S1 N2 N1 S8 N4 S1,1,43.391,18.984,0.141,1.152,0.000563 ,0.556895 ,
324,[91] N1 S1 N4 S8 N1 N2 S1,1,43.391,18.984,0.141,1.152,0.000563 ,0.556895 ,
324,[91] N1 S8 N4 S1 N1 N2 S1,1,43.391,18.984,0.141,1.152,0.000563 ,0.556895 ,
324,[91] N1 S8 N4 S1 N2 N1 S1,1,43.391,18.984,0.141,1.152,0.000563 ,0.556895 ,
324,[61] N1 S1 N2 S5 N5 N3 S2,2,43.391,18.984,0.141,1.152,0.000105 ,0.556895 ,
331,[97] N1 S1 N2 N1 S1 N2 N5 S5,1,43.413,19.006,0.163,1.174,0.000035 ,0.556930 ,
332,[98] N1 N2 N5 N3 S2 S1 N1 S4,1,43.474,19.067,0.224,1.235,0.000141 ,0.557352 ,
332,[98] N1 S1 S2 N3 N5 N2 N1 S4,1,43.474,19.067,0.224,1.235,0.000281 ,0.557352 ,
334,[136] N1 N2 N5 S5 N2 S1 N1 S4,0,43.479,19.072,0.229,1.24,0.000008 ,0.557437 ,
334,[136] N1 N2 S5 N5 N2 S1 N1 S4,0,43.479,19.072,0.229,1.24,0.000031 ,0.557437 ,
334,[136] N1 S1 N2 N5 S5 N2 N1 S4,0,43.479,19.072,0.229,1.24,0.000016 ,0.557437 ,
334,[136] N1 S1 N2 S5 N5 N2 N1 S4,0,43.479,19.072,0.229,1.24,0.000031 ,0.557437 ,
338,[100] N1 S4 S5 N2 N5 N3 S2,1,43.487,19.08,0.237,1.248,0.000563 ,0.558000 ,
339,[62] N1 N2 S1 N4 S2 S1,2,43.555,19.148,0.305,1.316,0.000844 ,0.559266 ,
339,[62] N1 N2 S1 S2 N4 S1,2,43.555,19.148,0.305,1.316,0.000422 ,0.559266 ,
341,[101] N1 N2 S1 S2 N3 N5 N2 S1,1,43.556,19.149,0.306,1.317,0.000070 ,0.559336 ,
342,[64] N1 N2 S5 N5 N3 S2 S1,2,43.591,19.184,0.341,1.352,0.000422 ,0.559758 ,
343,[65] N1 N2 N5 S5 S4 N1 S8,2,43.607,19.2,0.357,1.368,0.000844 ,0.563977 ,
343,[65] N1 S4 S5 N5 N2 N1 S8,2,43.607,19.2,0.357,1.368,0.003375 ,0.563977 ,
345,[67] N1 S8 N4 S2 N3 S7,2,43.672,19.265,0.422,1.433,0.006750 ,0.570727 ,
346,[68] N1 S8 N4 S2 N3 S3,2,43.689,19.282,0.439,1.45,0.003375 ,0.574102 ,
347,[140] N1 N2 S1 N1 N2 N5 S7 S6,0,43.705,19.298,0.455,1.466,0.000008 ,0.574109 ,
348,[69] N1 N2 S1 N1 N2 S1 N1 S8,2,43.72,19.313,0.47,1.481,0.000026 ,0.574241 ,
348,[69] N1 S1 N2 N1 S1 N2 N1 S8,2,43.72,19.313,0.47,1.481,0.000105 ,0.574241 ,
350,[141] N1 S1 N2 N5 N3 S7 S6,0,43.722,19.315,0.472,1.483,0.000125 ,0.574366 ,
351,[39] N1 S1 S2 N4 N6 S3,3,43.803,19.396,0.553,1.564,0.001688 ,0.576054 ,
352,[142] N1 S1 N2 N5 S5 N2 N5 S5,0,43.836,19.429,0.586,1.597,0.000004 ,0.576058 ,
353,[102] N1 S4 S5 N5 N3 S7,1,43.86,19.453,0.61,1.621,0.004500 ,0.580558 ,
354,[103] N1 S1 N4 S2 N3 S7,1,43.875,19.468,0.625,1.636,0.002250 ,0.582808 ,
355,[104] N1 S4 S5 N5 N3 S3,1,43.877,19.47,0.627,1.638,0.002250 ,0.585058 ,
356,[143] N1 N2 S1 N1 N2 N5 S5 S4,0,43.879,19.472,0.629,1.64,0.000008 ,0.585065 ,
357,[105] N1 S1 N4 S2 N3 S3,1,43.892,19.485,0.642,1.653,0.001125 ,0.586190 ,
358,[144] N1 N2 S1 N1 S8 N4 N6 S3,0,43.893,19.486,0.643,1.654,0.000125 ,0.586565 ,
358,[144] N1 S1 N2 N1 S8 N4 N6 S3,0,43.893,19.486,0.643,1.654,0.000250 ,0.586565 ,
360,[40] N1 S4 S5 N2 N1 S4,3,43.899,19.492,0.649,1.66,0.003375 ,0.589940 ,
361,[41] N1 S1 N4 S8 N1 S4,3,44.021,19.614,0.771,1.782,0.003375 ,0.596690 ,
361,[41] N1 S8 N4 S1 N1 S4,3,44.021,19.614,0.771,1.782,0.003375 ,0.596690 ,
363,[106] N1 N2 S1 S2 N4 N6 S3,1,44.057,19.65,0.807,1.818,0.000563 ,0.597253 ,
364,[107] N1 S8 N4 S2 N3 N5 S5,1,44.082,19.675,0.832,1.843,0.000563 ,0.597815 ,
365,[108] N1 S1 N2 N1 S1 N2 N5 S7,1,44.09,19.683,0.84,1.851,0.000035 ,0.597851 ,
366,[146] N1 S8 N4 N6 S3 N7 S7,0,44.128,19.721,0.878,1.889,0.004000 ,0.601851 ,
367,[147] N1 N2 N5 S7 N3 S2 S3,0,44.138,19.731,0.888,1.899,0.000016 ,0.602183 ,
367,[71] N1 N2 N5 N3 S2 S1 N1 S8,2,44.138,19.731,0.888,1.899,0.000105 ,0.602183 ,
367,[71] N1 S1 S2 N3 N5 N2 N1 S8,2,44.138,19.731,0.888,1.899,0.000211 ,0.602183 ,
370,[109] N1 N2 N5 S5 N2 S1 N1 S8,1,44.143,19.736,0.893,1.904,0.000018 ,0.602376 ,
370,[109] N1 N2 S5 N5 N2 S1 N1 S8,1,44.143,19.736,0.893,1.904,0.000070 ,0.602376 ,
370,[109] N1 S1 N2 N5 S5 N2 N1 S8,1,44.143,19.736,0.893,1.904,0.000035 ,0.602376 ,
370,[109] N1 S1 N2 S5 N5 N2 N1 S8,1,44.143,19.736,0.893,1.904,0.000070 ,0.602376 ,
374,[43] N1 S4 S5 N2 N5 S5,3,44.256,19.849,1.006,2.017,0.000844 ,0.606595 ,
374,[43] N1 S4 S5 N5 N2 S5,3,44.256,19.849,1.006,2.017,0.003375 ,0.606595 ,
376,[45] N1 N2 S1 S2 N4 S8,3,44.27,19.863,1.02,2.031,0.000211 ,0.606806 ,
377,[113] N1 N2 S1 N4 S8 N1 S4,1,44.275,19.868,1.025,2.036,0.001125 ,0.609056 ,
377,[113] N1 S8 N4 S1 N2 N1 S4,1,44.275,19.868,1.025,2.036,0.001125 ,0.609056 ,
379,[148] N1 S1 N4 S2 N3 N5 S5,0,44.285,19.878,1.035,2.046,0.000063 ,0.609118 ,
380,[115] N1 S1 N2 N1 S1 N4 S8,1,44.309,19.902,1.059,2.07,0.000281 ,0.609399 ,
381,[46] N1 S1 N2 N1 S1 N2 S5,3,44.369,19.962,1.119,2.13,0.000105 ,0.609505 ,
382,[149] N1 N2 S1 N1 N2 S5 N5 S7,0,44.379,19.972,1.129,2.14,0.000008 ,0.609513 ,
383,[150] N1 N2 N5 N3 S2 S1 N2 N1 S8,0,44.392,19.985,1.142,2.153,0.000008 ,0.609528 ,
383,[150] N1 N2 S1 S2 N3 N5 N2 N1 S8,0,44.392,19.985,1.142,2.153,0.000008 ,0.609528 ,
385,[152] N1 S1 N2 S5 N5 N3 S7,0,44.396,19.989,1.146,2.157,0.000031 ,0.609560 ,
386,[47] N1 N2 S1 S2 N3 N5 S5,3,44.409,20.002,1.159,2.17,0.000105 ,0.609665 ,
387,[153] N1 S1 N2 S5 N5 N3 S3,0,44.413,20.006,1.163,2.174,0.000016 ,0.609681 ,
388,[48] N1 N2 S5 N5 S7 S6,3,44.452,20.045,1.202,2.213,0.000844 ,0.610524 ,
389,[154] N1 N2 S1 N1 N2 N5 S5 S6,0,44.496,20.089,1.246,2.257,0.000004 ,0.610528 ,
390,[155] N1 S1 N2 N5 S5 N2 N5 S7,0,44.513,20.106,1.263,2.274,0.000004 ,0.610532 ,
391,[49] N1 S1 N4 S2 S3,3,44.537,20.13,1.287,2.298,0.001688 ,0.612220 ,
392,[73] N1 S1 N2 N5 N3 S2 S3,2,44.538,20.131,1.288,2.299,0.000211 ,0.612431 ,
393,[74] N1 N2 N5 S5 S4 N1 S1,2,44.559,20.152,1.309,2.32,0.001688 ,0.617493 ,
393,[74] N1 S4 S5 N5 N2 N1 S1,2,44.559,20.152,1.309,2.32,0.003375 ,0.617493 ,
395,[116] N1 S1 N2 N5 S7 N7 S3,1,44.571,20.164,1.321,2.332,0.000281 ,0.617774 ,
396,[117] N1 S8 N4 S1 N2 N5 S5,1,44.632,20.225,1.382,2.393,0.000281 ,0.618056 ,
397,[76] N1 S1 N2 N1 S1 N2 N1 S1,2,44.672,20.265,1.422,2.433,0.000105 ,0.618161 ,
398,[50] N1 N2 N5 S5 S6 S7,3,44.739,20.332,1.489,2.5,0.000844 ,0.619005 ,
399,[118] N1 N2 S5 S4 N1 N2 S5,1,44.754,20.347,1.504,2.515,0.002250 ,0.621255 ,
400,[119] N1 S8 N4 S2 N3 N5 S7,1,44.759,20.352,1.509,2.52,0.000563 ,0.621817 ,
401,[120] N1 S8 N4 N6 S3 N3 S2,1,44.776,20.369,1.526,2.537,0.002250 ,0.624067 ,
402,[51] N1 S1 S2 N3 N5 N2 S5,3,44.787,20.38,1.537,2.548,0.000211 ,0.624278 ,
403,[121] N1 N2 S1 N4 S2 S3,1,44.791,20.384,1.541,2.552,0.000563 ,0.624841 ,
404,[77] N1 S1 N2 S5 N5 N2 S5,2,44.792,20.385,1.542,2.553,0.000211 ,0.625052 ,
405,[156] N1 N2 N5 S5 S4 N1 N2 S1,0,44.813,20.406,1.563,2.574,0.000031 ,0.625083 ,
406,[122] N1 N2 S5 N5 N3 S2 S3,1,44.827,20.42,1.577,2.588,0.000141 ,0.625224 ,
407,[78] N1 N2 S1 N1 N2 S5 S4,2,44.835,20.428,1.585,2.596,0.000422 ,0.625646 ,
408,[157] N1 N2 S5 N5 S7 N7 S3,0,44.86,20.453,1.61,2.621,0.000125 ,0.625771 ,
409,[123] N1 S1 N4 S8 N1 N2 S5,1,44.876,20.469,1.626,2.637,0.001125 ,0.628021 ,
409,[123] N1 S8 N4 S1 N1 N2 S5,1,44.876,20.469,1.626,2.637,0.001125 ,0.628021 ,
411,[158] N1 N2 S1 N1 N2 S1 N1 N2 S1,0,44.926,20.519,1.676,2.687,0.000001 ,0.628021 ,
412,[52] N1 S4 S5 N2 N5 S7,3,44.933,20.526,1.683,2.694,0.000844 ,0.628865 ,
413,[79] N1 S8 N4 S1 N2 N1 S8,2,44.939,20.532,1.689,2.7,0.000844 ,0.629709 ,
414,[80] N1 N2 S1 N1 S8 N4 S2,2,44.94,20.533,1.69,2.701,0.000422 ,0.630975 ,
414,[80] N1 S1 N2 N1 S8 N4 S2,2,44.94,20.533,1.69,2.701,0.000844 ,0.630975 ,
416,[159] N1 S1 N4 S2 N3 N5 S7,0,44.962,20.555,1.712,2.723,0.000063 ,0.631037 ,
417,[125] N1 N2 N5 S5 N2 N1 S1 S2,1,44.978,20.571,1.728,2.739,0.000035 ,0.631213 ,
417,[125] N1 N2 S5 N5 N2 N1 S1 S2,1,44.978,20.571,1.728,2.739,0.000141 ,0.631213 ,
419,[160] N1 S1 N4 N6 S3 N3 S2,0,44.979,20.572,1.729,2.74,0.000250 ,0.631463 ,
420,[127] N1 N2 N5 N3 S2 S1 N2 S5,1,45.041,20.634,1.791,2.802,0.000070 ,0.631604 ,
420,[127] N1 N2 S1 S2 N3 N5 N2 S5,1,45.041,20.634,1.791,2.802,0.000070 ,0.631604 ,
422,[53] N1 N2 S1 S2 N3 N5 S7,3,45.086,20.679,1.836,2.847,0.000105 ,0.631709 ,
423,[82] N1 S1 S2 N3 N5 N2 N1 S1,2,45.09,20.683,1.84,2.851,0.000211 ,0.631920 ,
424,[129] N1 S1 N2 N5 S5 N2 N1 S1,1,45.095,20.688,1.845,2.856,0.000035 ,0.632025 ,
424,[129] N1 S1 N2 S5 N5 N2 N1 S1,1,45.095,20.688,1.845,2.856,0.000070 ,0.632025 ,
426,[131] N1 S1 N2 N1 S1 N4 S2,1,45.143,20.736,1.893,2.904,0.000281 ,0.632307 ,
427,[161] N1 S1 N2 N1 S1 N2 N5 N3 S2,0,45.144,20.737,1.894,2.905,0.000004 ,0.632311 ,
428,[162] N1 S1 N2 N5 N3 S3 S2,0,45.194,20.787,1.944,2.955,0.000031 ,0.632342 ,
429,[83] N1 S1 N2 N5 S7 N3 S2,2,45.202,20.795,1.952,2.963,0.000105 ,0.632447 ,
430,[132] N1 N2 S5 N5 N2 S5 S4,1,45.258,20.851,2.008,3.019,0.000563 ,0.633010 ,
431,[133] N1 S8 N4 S1 N2 N5 S7,1,45.309,20.902,2.059,3.07,0.000281 ,0.633291 ,
432,[163] N1 N2 N5 N3 S2 S1 N1 N2 S1,0,45.344,20.937,2.094,3.105,0.000004 ,0.633314 ,
432,[163] N1 N2 N5 N3 S2 S1 N2 N1 S1,0,45.344,20.937,2.094,3.105,0.000008 ,0.633314 ,
432,[163] N1 N2 S1 N1 N2 N5 N3 S2 S1,0,45.344,20.937,2.094,3.105,0.000004 ,0.633314 ,
432,[163] N1 N2 S1 S2 N3 N5 N2 N1 S1,0,45.344,20.937,2.094,3.105,0.000008 ,0.633314 ,
436,[167] N1 N2 N5 N3 S3 S2 S1,0,45.394,20.987,2.144,3.155,0.000031 ,0.633346 ,
437,[84] N1 N2 N5 S7 N3 S2 S1,2,45.402,20.995,2.152,3.163,0.000211 ,0.633557 ,
438,[54] N1 N2 N5 S7 S6 S5,3,45.416,21.009,2.166,3.177,0.001688 ,0.635244 ,
439,[55] N1 S8 N4 N6 S3 S2,3,45.421,21.014,2.171,3.182,0.006750 ,0.641994 ,
440,[85] N1 S4 S5 N5 N2 N1 S4,2,45.443,21.036,2.193,3.204,0.006750 ,0.648744 ,
441,[86] N1 N2 S1 N1 N2 S5 S6,2,45.452,21.045,2.202,3.213,0.000211 ,0.648955 ,
442,[134] N1 N2 S5 N5 S7 N3 S2,1,45.491,21.084,2.241,3.252,0.000141 ,0.649096 ,
443,[87] N1 N2 S1 N1 N2 S1 N1 S4,2,45.556,21.149,2.306,3.317,0.000053 ,0.649359 ,
443,[87] N1 S1 N2 N1 S1 N2 N1 S4,2,45.556,21.149,2.306,3.317,0.000211 ,0.649359 ,
445,[56] N1 S8 N4 S1 N2 S5,3,45.588,21.181,2.338,3.349,0.000844 ,0.650203 ,
446,[89] N1 S1 N4 N6 S3 S2,2,45.624,21.217,2.374,3.385,0.006750 ,0.656953 ,
447,[168] N1 N2 N5 S7 N7 S3 S2,0,45.641,21.234,2.391,3.402,0.000125 ,0.657078 ,
448,[57] N1 N2 N5 S5 N2 S1 S2,3,45.69,21.283,2.44,3.451,0.000053 ,0.657342 ,
448,[57] N1 N2 S5 N5 N2 S1 S2,3,45.69,21.283,2.44,3.451,0.000211 ,0.657342 ,
450,[169] N1 S8 N4 S2 N3 N5 N2 S1,0,45.729,21.322,2.479,3.49,0.000063 ,0.657404 ,
451,[90] N1 N2 S5 S4 N1 N2 S1,2,45.769,21.362,2.519,3.53,0.001688 ,0.659092 ,
452,[59] N1 S1 N2 N5 S5 N2 S1,3,45.807,21.4,2.557,3.568,0.000053 ,0.659250 ,
452,[59] N1 S1 N2 S5 N5 N2 S1,3,45.807,21.4,2.557,3.568,0.000105 ,0.659250 ,
454,[135] N1 N2 S5 N5 N2 S5 S6,1,45.875,21.468,2.625,3.636,0.000281 ,0.659531 ,
455,[170] N1 N2 S1 N4 N6 S3 S2,0,45.878,21.471,2.628,3.639,0.000250 ,0.659781 ,
456,[91] N1 N2 S1 N1 S8 N4 S1,2,45.891,21.484,2.641,3.652,0.000422 ,0.664475 ,
456,[91] N1 N2 S1 N4 S8 N1 S1,2,45.891,21.484,2.641,3.652,0.000844 ,0.664475 ,
456,[91] N1 S1 N2 N1 S8 N4 S1,2,45.891,21.484,2.641,3.652,0.000844 ,0.664475 ,
456,[91] N1 S1 N4 S8 N1 N2 S1,2,45.891,21.484,2.641,3.652,0.000844 ,0.664475 ,
456,[91] N1 S8 N4 S1 N1 N2 S1,2,45.891,21.484,2.641,3.652,0.000844 ,0.664475 ,
456,[91] N1 S8 N4 S1 N2 N1 S1,2,45.891,21.484,2.641,3.652,0.000844 ,0.664475 ,
456,[61] N1 S1 N2 S5 N5 N3 S2,3,45.891,21.484,2.641,3.652,0.000053 ,0.664475 ,
463,[97] N1 S1 N2 N1 S1 N2 N5 S5,2,45.913,21.506,2.663,3.674,0.000053 ,0.664527 ,
464,[98] N1 N2 N5 N3 S2 S1 N1 S4,2,45.974,21.567,2.724,3.735,0.000211 ,0.665160 ,
464,[98] N1 S1 S2 N3 N5 N2 N1 S4,2,45.974,21.567,2.724,3.735,0.000422 ,0.665160 ,
466,[136] N1 N2 N5 S5 N2 S1 N1 S4,1,45.979,21.572,2.729,3.74,0.000035 ,0.665547 ,
466,[136] N1 N2 S5 N5 N2 S1 N1 S4,1,45.979,21.572,2.729,3.74,0.000141 ,0.665547 ,
466,[136] N1 S1 N2 N5 S5 N2 N1 S4,1,45.979,21.572,2.729,3.74,0.000070 ,0.665547 ,
466,[136] N1 S1 N2 S5 N5 N2 N1 S4,1,45.979,21.572,2.729,3.74,0.000141 ,0.665547 ,
470,[100] N1 S4 S5 N2 N5 N3 S2,2,45.987,21.58,2.737,3.748,0.000844 ,0.666391 ,
